"UAES-³µºÍ¼Ò","1#","1","1#2000nm","1","2021-11-16 13:51:32",0,0,2000,20,10,1
800.9746,-1.33252,1.512,0,0,0,0,11525
0,1
-.1118164,0,3
.1933594,0,12
-.722168,0,21
-.1118164,0,30
-.1118164,0,39
-.1118164,0,48
-.722168,0,57
-.1118164,0,66
-.1118164,0,75
.1933594,.009,84
.4985352,.009,93
.8037109,.009,102
1.108887,.009,111
1.108887,.009,120
1.108887,.009,129
1.108887,.009,138
1.108887,.009,147
1.108887,.009,156
1.108887,.009,165
1.108887,.009,174
2.939941,.009,183
2.939941,.009,192
3.550293,.009,201
3.550293,.009,210
3.550293,.009,219
3.550293,.009,228
3.550293,.009,237
3.550293,.009,246
3.550293,.009,255
4.160645,.018,264
3.550293,.018,273
4.160645,.018,282
4.770996,.018,291
4.770996,.018,300
5.381348,.018,309
5.076172,.018,318
5.381348,.018,327
5.381348,.018,336
5.686523,.018,345
5.991699,.018,354
5.991699,.018,363
5.991699,.018,372
5.991699,.018,381
5.991699,.018,390
5.991699,.018,399
5.991699,.018,408
5.991699,.018,417
5.991699,.018,426
5.991699,.018,435
5.991699,.018,444
5.991699,.018,453
5.991699,.018,462
5.991699,.018,471
5.991699,.018,480
5.991699,.018,489
5.991699,.018,498
5.991699,.018,507
7.822754,.018,516
8.433105,.018,525
7.822754,.018,534
5.991699,.018,543
7.822754,.018,552
7.822754,.027,561
8.433105,.027,570
8.433105,.027,579
8.433105,.027,588
5.991699,.027,597
8.433105,.027,606
5.991699,.027,615
8.433105,.027,624
8.433105,.027,633
8.433105,.027,642
8.433105,.027,651
8.433105,.027,660
9.043457,.027,669
9.043457,.027,678
8.433105,.027,687
9.043457,.027,696
9.653809,.027,705
9.043457,.027,714
9.653809,.027,723
9.958984,.027,732
9.653809,.027,741
9.958984,.027,750
9.653809,.027,759
9.653809,.027,768
9.958984,.027,777
9.958984,.027,786
9.958984,.027,795
9.958984,.027,804
9.958984,.027,813
10.56934,.027,822
10.26416,.027,831
10.87451,.027,840
9.653809,.027,849
10.87451,.027,858
10.87451,.027,867
10.87451,.027,876
10.87451,.027,885
10.87451,.027,894
10.87451,.027,903
10.87451,.027,912
10.26416,.027,921
10.87451,.027,930
9.958984,.027,939
10.87451,.027,948
10.87451,.027,957
10.87451,.027,966
10.87451,.027,975
10.87451,.027,984
10.87451,.027,993
10.87451,.027,1002
10.87451,.027,1011
10.87451,.027,1020
10.87451,.027,1029
10.87451,.027,1038
12.70557,.027,1047
10.87451,.036,1056
12.70557,.036,1065
12.70557,.036,1074
12.70557,.036,1083
12.70557,.036,1092
12.70557,.036,1101
12.70557,.036,1110
13.31592,.036,1119
12.70557,.036,1128
13.31592,.036,1137
12.70557,.036,1146
10.87451,.036,1155
13.31592,.036,1164
13.31592,.036,1173
13.31592,.036,1182
13.31592,.036,1191
13.31592,.036,1200
13.31592,.036,1209
13.31592,.036,1218
13.31592,.036,1227
13.31592,.036,1236
14.23145,.036,1245
13.31592,.036,1254
14.8418,.036,1263
14.53662,.036,1272
14.8418,.036,1281
13.31592,.036,1290
14.53662,.036,1299
14.8418,.036,1308
15.14697,.036,1317
14.8418,.036,1326
14.8418,.036,1335
14.53662,.036,1344
15.45215,.036,1353
15.14697,.036,1362
15.45215,.036,1371
15.75732,.036,1380
15.75732,.036,1389
14.8418,.036,1398
15.45215,.036,1407
15.75732,.036,1416
15.45215,.036,1425
15.75732,.036,1434
15.75732,.036,1443
15.75732,.036,1452
15.75732,.036,1461
15.75732,.036,1470
15.75732,.036,1479
15.75732,.036,1488
15.75732,.036,1497
15.75732,.036,1506
15.75732,.036,1515
15.75732,.036,1524
15.75732,.036,1533
15.75732,.036,1542
15.75732,.036,1551
15.75732,.036,1560
15.75732,.036,1569
15.75732,.036,1578
15.75732,.036,1587
15.75732,.036,1596
15.75732,.036,1605
15.75732,.036,1614
15.75732,.036,1623
15.75732,.036,1632
15.75732,.036,1641
15.75732,.036,1650
15.75732,.045,1659
15.75732,.045,1668
15.75732,.045,1677
17.58838,.045,1686
17.58838,.045,1695
17.58838,.045,1704
17.58838,.045,1713
17.58838,.045,1722
15.75732,.045,1731
18.19873,.045,1740
18.19873,.045,1749
18.19873,.045,1758
18.19873,.045,1767
18.19873,.045,1776
18.19873,.045,1785
18.80908,.045,1794
