"UAES-³µºÍ¼Ò","1#","1","1#330nm","1","2021-11-16 13:30:24",0,0,330,20,10,1
331.0503,-.980957,.594,0,0,0,0,8718
0,1
.8500977,0,3
.8500977,0,12
.2397461,0,21
.5449219,0,30
1.155273,0,39
.5449219,0,48
.5449219,0,57
-.980957,0,66
.8500977,0,75
.8500977,0,84
.5449219,0,93
1.460449,0,102
1.460449,0,111
1.460449,0,120
1.460449,0,129
1.460449,0,138
1.460449,0,147
1.460449,0,156
1.460449,0,165
3.291504,0,174
1.460449,0,183
3.291504,.009,192
3.291504,.009,201
3.291504,.009,210
3.901855,.009,219
3.901855,.009,228
3.901855,.009,237
3.901855,.009,246
4.512207,.009,255
4.512207,.009,264
4.512207,.009,273
4.512207,.009,282
4.512207,.009,291
4.512207,.009,300
5.122559,.009,309
5.427734,.009,318
5.427734,.009,327
5.73291,.009,336
6.038086,.009,345
6.343262,.009,354
6.343262,.009,363
6.343262,.009,372
6.038086,.009,381
6.343262,.009,390
6.343262,.009,399
6.343262,.009,408
6.343262,.009,417
6.343262,.009,426
6.343262,.018,435
6.343262,.018,444
6.343262,.018,453
6.343262,.018,462
6.343262,.018,471
6.343262,.018,480
6.343262,.018,489
6.343262,.018,498
6.343262,.018,507
6.343262,.018,516
6.343262,.018,525
8.174316,.018,534
8.174316,.018,543
6.343262,.018,552
8.174316,.018,561
8.174316,.018,570
8.784668,.018,579
8.784668,.018,588
8.784668,.018,597
8.784668,.018,606
8.784668,.018,615
8.784668,.018,624
9.39502,.018,633
8.784668,.018,642
8.784668,.018,651
9.39502,.018,660
8.784668,.018,669
8.784668,.018,678
10.31055,.018,687
10.31055,.018,696
10.00537,.018,705
10.00537,.018,714
10.00537,.018,723
10.31055,.018,732
10.31055,.018,741
10.61572,.018,750
11.22607,.018,759
10.61572,.018,768
10.31055,.018,777
10.31055,.018,786
11.22607,.018,795
11.22607,.027,804
11.22607,.027,813
11.22607,.027,822
11.22607,.027,831
11.22607,.027,840
11.22607,.027,849
11.22607,.027,858
11.22607,.027,867
11.22607,.027,876
11.22607,.027,885
11.22607,.027,894
11.22607,.027,903
11.22607,.027,912
11.22607,.027,921
11.22607,.027,930
11.22607,.027,939
11.22607,.027,948
11.22607,.027,957
12.75195,.027,966
11.22607,.027,975
13.05713,.027,984
11.22607,.027,993
11.22607,.027,1002
13.05713,.027,1011
12.75195,.027,1020
13.66748,.027,1029
13.66748,.027,1038
13.05713,.027,1047
13.66748,.027,1056
13.66748,.027,1065
13.66748,.027,1074
13.66748,.027,1083
13.66748,.027,1092
14.27783,.027,1101
13.66748,.027,1110
13.66748,.027,1119
14.27783,.027,1128
14.27783,.027,1137
14.88818,.027,1146
14.88818,.027,1155
13.66748,.027,1164
14.88818,.027,1173
