"UAES-³µºÍ¼Ò","2#","1","2#2000nm","1","2021-11-16 14:35:35",0,0,2000,20,10,1
661.9917,0,1.359,0,0,0,0,10158
0,1
.3706055,0,3
1.591309,0,12
1.896484,0,21
.980957,0,30
.980957,0,39
.980957,0,48
.980957,0,57
.3706055,0,66
.980957,0,75
.980957,0,84
1.591309,0,93
.980957,0,102
.3706055,0,111
.980957,0,120
1.896484,0,129
.3706055,0,138
1.286133,0,147
1.591309,0,156
.980957,0,165
.980957,0,174
.980957,0,183
1.896484,0,192
.3706055,0,201
.3706055,0,210
1.591309,0,219
.980957,0,228
.980957,0,237
1.896484,0,246
1.896484,0,255
1.591309,0,264
.980957,0,273
.980957,0,282
1.591309,0,291
1.591309,0,300
1.896484,0,309
1.896484,0,318
1.591309,0,327
2.20166,0,336
1.896484,0,345
1.896484,0,354
1.896484,0,363
1.896484,0,372
1.591309,.009,381
.3706055,.009,390
1.896484,.009,399
2.20166,.009,408
1.896484,.009,417
1.896484,.009,426
1.896484,.009,435
1.896484,.009,444
2.20166,.009,453
2.20166,.009,462
1.896484,.009,471
2.20166,.009,480
2.506836,.009,489
2.20166,.009,498
1.286133,.009,507
2.506836,.009,516
2.20166,.009,525
2.20166,.009,534
1.896484,.009,543
1.896484,.009,552
2.506836,.009,561
.980957,.009,570
1.896484,.009,579
2.506836,.009,588
2.506836,.018,597
2.506836,.018,606
1.896484,.018,615
1.896484,.018,624
2.506836,.018,633
1.896484,.018,642
.3706055,.018,651
2.506836,.018,660
1.896484,.018,669
2.20166,.018,678
2.812012,.018,687
2.506836,.018,696
2.506836,.018,705
2.812012,.018,714
1.896484,.018,723
2.812012,.018,732
2.812012,.018,741
2.506836,.018,750
2.812012,.018,759
2.812012,.018,768
2.812012,.027,777
2.812012,.027,786
2.812012,.027,795
2.812012,.027,804
2.812012,.027,813
2.812012,.027,822
2.812012,.027,831
2.812012,.027,840
2.812012,.027,849
2.506836,.027,858
2.506836,.027,867
2.812012,.027,876
2.812012,.027,885
2.20166,.027,894
2.812012,.027,903
2.812012,.027,912
2.812012,.027,921
2.812012,.027,930
2.812012,.036,939
2.812012,.036,948
2.812012,.036,957
2.812012,.036,966
2.812012,.036,975
2.812012,.036,984
2.812012,.036,993
2.812012,.036,1002
2.812012,.036,1011
1.896484,.036,1020
2.812012,.036,1029
2.812012,.036,1038
2.812012,.045,1047
2.812012,.045,1056
2.812012,.045,1065
2.812012,.045,1074
2.812012,.045,1083
2.812012,.045,1092
2.812012,.045,1101
2.812012,.045,1110
2.812012,.045,1119
2.812012,.045,1128
2.506836,.045,1137
2.812012,.045,1146
2.812012,.054,1155
2.812012,.054,1164
2.812012,.054,1173
2.812012,.054,1182
2.812012,.054,1191
2.812012,.054,1200
2.812012,.054,1209
2.812012,.054,1218
2.812012,.054,1227
2.812012,.054,1236
2.812012,.054,1245
2.812012,.054,1254
2.812012,.054,1263
4.643066,.054,1272
2.812012,.054,1281
4.643066,.063,1290
2.812012,.063,1299
5.253418,.063,1308
5.253418,.063,1317
4.643066,.063,1326
2.812012,.063,1335
5.253418,.063,1344
5.253418,.063,1353
5.253418,.063,1362
4.948242,.063,1371
5.253418,.063,1380
5.253418,.063,1389
5.253418,.063,1398
5.253418,.072,1407
5.253418,.072,1416
5.253418,.072,1425
5.253418,.072,1434
5.253418,.072,1443
5.253418,.072,1452
5.253418,.072,1461
5.253418,.072,1470
5.253418,.072,1479
6.474121,.072,1488
5.253418,.081,1497
5.253418,.081,1506
5.253418,.081,1515
5.253418,.081,1524
6.474121,.081,1533
5.253418,.081,1542
5.86377,.081,1551
6.779297,.081,1560
6.779297,.081,1569
6.779297,.09,1578
7.084473,.09,1587
6.779297,.09,1596
5.253418,.09,1605
6.779297,.09,1614
7.084473,.09,1623
6.779297,.09,1632
6.779297,.09,1641
7.694824,.09,1650
7.694824,.09,1659
7.694824,.09,1668
7.694824,.09,1677
7.694824,.09,1686
7.694824,.099,1695
7.389648,.099,1704
7.694824,.099,1713
7.694824,.099,1722
7.694824,.099,1731
7.694824,.099,1740
7.694824,.099,1749
7.694824,.099,1758
7.694824,.099,1767
7.694824,.099,1776
7.694824,.099,1785
7.694824,.099,1794
7.694824,.108,1803
7.694824,.108,1812
7.694824,.108,1821
9.525879,.108,1830
9.525879,.108,1839
10.13623,.108,1848
10.13623,.108,1857
9.525879,.108,1866
7.694824,.108,1875
10.13623,.108,1884
10.13623,.108,1893
10.13623,.117,1902
10.13623,.117,1911
10.13623,.117,1920
10.13623,.117,1929
11.35693,.117,1938
10.74658,.117,1947
11.66211,.117,1956
11.66211,.117,1965
11.66211,.117,1974
11.96729,.117,1983
11.96729,.117,1992
12.57764,.117,2001
12.57764,.117,2010
12.57764,.126,2019
12.57764,.126,2028
12.57764,.126,2037
12.57764,.126,2046
12.57764,.126,2055
12.57764,.126,2064
12.57764,.126,2073
14.10352,.126,2082
12.57764,.126,2091
12.57764,.126,2100
12.57764,.126,2109
12.57764,.126,2118
14.40869,.126,2127
14.40869,.126,2136
14.71387,.126,2145
15.01904,.126,2154
15.01904,.126,2163
15.01904,.126,2172
15.01904,.126,2181
15.01904,.126,2190
16.23975,.126,2199
15.01904,.126,2208
16.54492,.126,2217
16.23975,.126,2226
16.54492,.126,2235
16.54492,.126,2244
16.54492,.126,2253
15.01904,.126,2262
16.8501,.126,2271
16.54492,.126,2280
16.54492,.126,2289
16.54492,.135,2298
16.23975,.135,2307
16.54492,.135,2316
16.8501,.135,2325
16.8501,.135,2334
17.46045,.135,2343
17.46045,.135,2352
17.46045,.135,2361
16.23975,.135,2370
16.54492,.135,2379
