"UAES-³µºÍ¼Ò","2#","1","2#330nm","1","2021-11-16 14:18:57",0,0,330,20,10,1
330.6089,-1.422363,.594,0,0,0,0,8656
0,1
-1.422363,0,3
-1.422363,0,12
-1.422363,0,21
.1035156,0,30
-1.422363,0,39
.4086914,0,48
-1.422363,0,57
-1.422363,0,66
.4086914,0,75
-1.422363,0,84
.4086914,0,93
1.019043,0,102
1.019043,0,111
.4086914,0,120
1.019043,.009,129
1.019043,.009,138
1.019043,.009,147
1.019043,.009,156
1.019043,.009,165
2.239746,.009,174
1.629395,.009,183
1.629395,.009,192
2.544922,.009,201
2.544922,.009,210
1.019043,.009,219
2.544922,.009,228
2.850098,.009,237
1.629395,.009,246
2.544922,.009,255
2.544922,.009,264
3.155273,.009,273
2.850098,.009,282
3.460449,.009,291
3.460449,.009,300
3.460449,.009,309
3.460449,.009,318
3.460449,.009,327
3.460449,.009,336
3.460449,.009,345
3.460449,.009,354
3.460449,.009,363
3.460449,.009,372
3.460449,.009,381
3.460449,.009,390
3.460449,.009,399
3.460449,.009,408
3.460449,.009,417
3.460449,.018,426
3.460449,.018,435
3.460449,.018,444
3.460449,.018,453
3.460449,.018,462
3.460449,.018,471
3.460449,.018,480
5.291504,.018,489
5.291504,.018,498
5.901855,.018,507
5.291504,.018,516
5.291504,.018,525
5.901855,.018,534
5.901855,.018,543
3.460449,.018,552
5.901855,.018,561
5.901855,.018,570
5.901855,.018,579
5.901855,.018,588
6.512207,.018,597
5.901855,.018,606
6.512207,.018,615
6.512207,.018,624
6.512207,.018,633
6.512207,.018,642
7.122559,.018,651
7.427734,.018,660
7.122559,.018,669
7.122559,.018,678
7.427734,.018,687
7.427734,.018,696
7.427734,.018,705
7.73291,.018,714
7.122559,.018,723
7.427734,.018,732
6.512207,.018,741
7.122559,.018,750
7.73291,.027,759
7.73291,.027,768
7.427734,.027,777
7.73291,.027,786
8.343262,.027,795
7.73291,.027,804
8.343262,.027,813
8.343262,.027,822
8.343262,.027,831
8.343262,.027,840
8.343262,.027,849
8.343262,.027,858
8.343262,.027,867
8.343262,.027,876
8.343262,.027,885
8.343262,.027,894
8.343262,.027,903
8.343262,.027,912
8.343262,.027,921
8.343262,.027,930
8.343262,.027,939
8.343262,.027,948
8.343262,.027,957
8.343262,.027,966
8.343262,.027,975
8.343262,.027,984
10.17432,.027,993
8.343262,.027,1002
8.343262,.027,1011
8.343262,.027,1020
9.869141,.027,1029
8.343262,.027,1038
8.343262,.027,1047
10.17432,.027,1056
10.17432,.027,1065
10.17432,.027,1074
8.343262,.027,1083
10.17432,.027,1092
8.343262,.027,1101
10.17432,.027,1110
10.78467,.027,1119
10.78467,.027,1128
10.78467,.027,1137
10.78467,.027,1146
10.78467,.027,1155
10.47949,.027,1164
10.78467,.027,1173
10.78467,.027,1182
10.78467,.027,1191
10.78467,.027,1200
11.39502,.036,1209
10.78467,.036,1218
11.39502,.036,1227
10.78467,.036,1236
11.39502,.036,1245
10.78467,.036,1254
12.00537,.036,1263
12.31055,.036,1272
11.7002,.036,1281
12.31055,.036,1290
11.39502,.036,1299
12.00537,.036,1308
12.61572,.036,1317
12.61572,.036,1326
12.9209,.036,1335
13.22607,.036,1344
12.9209,.036,1353
13.22607,.036,1362
12.61572,.036,1371
13.22607,.036,1380
13.22607,.036,1389
13.22607,.036,1398
13.22607,.036,1407
12.00537,.036,1416
13.22607,.036,1425
13.22607,.036,1434
13.22607,.036,1443
13.22607,.036,1452
13.22607,.036,1461
13.22607,.036,1470
13.22607,.036,1479
13.22607,.036,1488
13.22607,.036,1497
13.22607,.036,1506
13.22607,.036,1515
13.22607,.036,1524
13.22607,.036,1533
14.75195,.036,1542
13.22607,.036,1551
14.75195,.036,1560
14.75195,.036,1569
15.05713,.036,1578
14.75195,.036,1587
13.22607,.036,1596
15.05713,.036,1605
13.22607,.036,1614
15.05713,.036,1623
15.66748,.036,1632
15.66748,.036,1641
15.3623,.045,1650
13.22607,.045,1659
15.66748,.045,1668
15.66748,.045,1677
15.66748,.045,1686
15.66748,.045,1695
15.66748,.045,1704
15.66748,.045,1713
15.66748,.045,1722
13.22607,.045,1731
15.66748,.045,1740
15.66748,.045,1749
15.66748,.045,1758
16.88818,.045,1767
16.27783,.045,1776
16.58301,.045,1785
16.27783,.045,1794
16.27783,.045,1803
16.88818,.045,1812
16.88818,.045,1821
16.88818,.045,1830
17.19336,.045,1839
16.88818,.045,1848
17.49854,.045,1857
15.66748,.045,1866
17.49854,.045,1875
17.80371,.045,1884
17.49854,.045,1893
17.80371,.045,1902
17.80371,.045,1911
18.10889,.045,1920
17.49854,.045,1929
18.10889,.045,1938
17.80371,.045,1947
18.10889,.045,1956
18.10889,.045,1965
18.10889,.045,1974
18.10889,.045,1983
18.10889,.045,1992
18.10889,.045,2001
18.10889,.045,2010
18.10889,.045,2019
18.10889,.045,2028
18.10889,.045,2037
18.10889,.045,2046
18.10889,.045,2055
18.10889,.045,2064
18.10889,.045,2073
18.10889,.045,2082
18.10889,.045,2091
18.10889,.045,2100
18.10889,.045,2109
18.10889,.045,2118
18.10889,.045,2127
18.10889,.054,2136
19.63477,.054,2145
19.93994,.054,2154
20.55029,.054,2163
19.93994,.054,2172
19.93994,.054,2181
20.55029,.054,2190
19.93994,.054,2199
19.93994,.054,2208
19.93994,.054,2217
20.24512,.054,2226
19.93994,.054,2235
20.55029,.054,2244
20.55029,.054,2253
20.55029,.054,2262
20.55029,.054,2271
19.93994,.054,2280
20.55029,.054,2289
20.55029,.054,2298
18.10889,.054,2307
20.55029,.054,2316
20.55029,.054,2325
20.55029,.054,2334
20.55029,.054,2343
20.55029,.054,2352
21.16064,.054,2361
20.55029,.054,2370
21.16064,.054,2379
21.771,.054,2388
21.771,.054,2397
21.771,.054,2406
22.07617,.054,2415
21.16064,.054,2424
22.07617,.054,2433
22.07617,.054,2442
22.07617,.054,2451
22.38135,.054,2460
22.38135,.054,2469
22.9917,.054,2478
22.68652,.054,2487
22.9917,.054,2496
22.9917,.054,2505
22.9917,.054,2514
22.9917,.054,2523
22.9917,.063,2532
22.9917,.063,2541
22.9917,.063,2550
22.9917,.063,2559
22.9917,.063,2568
22.9917,.063,2577
22.9917,.063,2586
22.9917,.063,2595
22.9917,.063,2604
22.9917,.063,2613
22.9917,.063,2622
22.9917,.063,2631
22.9917,.063,2640
22.9917,.063,2649
22.9917,.063,2658
22.9917,.063,2667
22.9917,.063,2676
22.9917,.063,2685
22.9917,.063,2694
22.9917,.063,2703
22.9917,.063,2712
22.68652,.063,2721
22.9917,.063,2730
22.9917,.063,2739
24.51758,.063,2748
22.9917,.063,2757
24.82275,.063,2766
24.82275,.063,2775
24.82275,.063,2784
22.9917,.063,2793
24.82275,.063,2802
24.82275,.063,2811
24.82275,.063,2820
25.43311,.063,2829
25.43311,.063,2838
25.43311,.063,2847
25.43311,.063,2856
25.43311,.063,2865
25.43311,.063,2874
25.43311,.063,2883
25.43311,.063,2892
25.43311,.063,2901
25.43311,.063,2910
25.43311,.063,2919
25.43311,.063,2928
25.43311,.063,2937
25.43311,.063,2946
25.43311,.063,2955
26.04346,.063,2964
26.04346,.063,2973
26.65381,.063,2982
25.43311,.063,2991
26.04346,.063,3000
26.65381,.063,3009
26.95898,.063,3018
26.65381,.063,3027
26.95898,.063,3036
26.65381,.063,3045
27.26416,.063,3054
26.95898,.063,3063
26.95898,.063,3072
27.26416,.063,3081
26.95898,.063,3090
27.87451,.063,3099
27.26416,.063,3108
27.87451,.063,3117
27.87451,.063,3126
27.87451,.063,3135
27.26416,.063,3144
27.87451,.063,3153
27.87451,.063,3162
26.95898,.072,3171
27.87451,.072,3180
27.87451,.072,3189
27.87451,.072,3198
27.87451,.072,3207
27.87451,.072,3216
27.87451,.072,3225
27.87451,.072,3234
27.87451,.072,3243
27.87451,.072,3252
27.87451,.072,3261
27.87451,.072,3270
27.87451,.072,3279
27.87451,.072,3288
27.87451,.072,3297
27.87451,.072,3306
27.87451,.072,3315
27.87451,.072,3324
27.87451,.072,3333
27.87451,.072,3342
29.70557,.072,3351
27.87451,.072,3360
27.87451,.072,3369
27.87451,.072,3378
27.87451,.072,3387
29.70557,.072,3396
27.87451,.072,3405
29.70557,.072,3414
27.87451,.072,3423
29.70557,.072,3432
29.70557,.072,3441
29.70557,.072,3450
29.70557,.072,3459
29.70557,.072,3468
27.87451,.072,3477
29.70557,.072,3486
29.70557,.072,3495
30.31592,.072,3504
27.87451,.072,3513
30.31592,.072,3522
30.31592,.072,3531
30.31592,.072,3540
30.31592,.072,3549
30.31592,.072,3558
30.31592,.072,3567
30.92627,.072,3576
30.92627,.072,3585
30.92627,.072,3594
31.53662,.072,3603
31.53662,.072,3612
30.92627,.072,3621
30.92627,.072,3630
31.53662,.072,3639
30.31592,.072,3648
31.53662,.072,3657
31.8418,.072,3666
31.53662,.072,3675
32.14697,.072,3684
30.92627,.072,3693
32.14697,.072,3702
32.14697,.072,3711
31.8418,.072,3720
32.75732,.072,3729
32.45215,.072,3738
32.14697,.072,3747
30.92627,.072,3756
32.75732,.072,3765
32.75732,.072,3774
32.75732,.072,3783
32.75732,.072,3792
32.75732,.072,3801
32.75732,.072,3810
32.14697,.072,3819
32.75732,.072,3828
32.75732,.081,3837
32.75732,.081,3846
32.75732,.081,3855
32.75732,.081,3864
32.75732,.081,3873
32.45215,.081,3882
32.75732,.081,3891
32.75732,.081,3900
32.75732,.081,3909
32.75732,.081,3918
32.75732,.081,3927
32.75732,.081,3936
32.75732,.081,3945
32.75732,.081,3954
32.75732,.081,3963
32.75732,.081,3972
34.58838,.081,3981
32.75732,.081,3990
34.58838,.081,3999
34.58838,.081,4008
34.58838,.081,4017
34.58838,.081,4026
34.58838,.081,4035
34.58838,.081,4044
34.58838,.081,4053
34.58838,.081,4062
35.19873,.081,4071
35.19873,.081,4080
35.19873,.081,4089
35.19873,.081,4098
35.19873,.081,4107
35.19873,.081,4116
35.19873,.081,4125
35.19873,.081,4134
35.80908,.081,4143
35.80908,.081,4152
35.80908,.081,4161
35.80908,.081,4170
35.80908,.081,4179
35.19873,.081,4188
35.80908,.081,4197
35.80908,.081,4206
35.80908,.081,4215
36.41943,.081,4224
36.72461,.081,4233
35.80908,.081,4242
36.41943,.081,4251
36.72461,.081,4260
36.72461,.081,4269
36.72461,.081,4278
37.02979,.081,4287
37.02979,.081,4296
36.72461,.081,4305
37.02979,.081,4314
37.02979,.081,4323
36.72461,.081,4332
37.64014,.081,4341
35.80908,.081,4350
36.72461,.09,4359
37.64014,.09,4368
37.64014,.09,4377
37.64014,.09,4386
37.64014,.09,4395
37.64014,.09,4404
37.64014,.09,4413
37.33496,.09,4422
37.64014,.09,4431
37.64014,.09,4440
37.64014,.09,4449
37.64014,.09,4458
37.64014,.09,4467
37.64014,.09,4476
37.64014,.09,4485
37.64014,.09,4494
37.64014,.09,4503
37.64014,.09,4512
37.64014,.09,4521
37.64014,.09,4530
37.64014,.09,4539
37.64014,.09,4548
37.64014,.09,4557
37.64014,.09,4566
37.64014,.09,4575
37.64014,.09,4584
39.16602,.09,4593
37.64014,.09,4602
37.64014,.09,4611
37.64014,.09,4620
39.47119,.09,4629
39.77637,.09,4638
39.16602,.09,4647
39.77637,.09,4656
40.08154,.09,4665
37.64014,.09,4674
40.08154,.09,4683
39.77637,.09,4692
40.08154,.09,4701
40.08154,.09,4710
40.08154,.09,4719
40.08154,.09,4728
40.08154,.09,4737
40.08154,.09,4746
40.08154,.09,4755
40.08154,.09,4764
40.08154,.09,4773
40.08154,.09,4782
41.30225,.09,4791
40.08154,.09,4800
40.08154,.09,4809
40.08154,.09,4818
40.08154,.09,4827
40.08154,.09,4836
40.08154,.09,4845
41.30225,.09,4854
39.77637,.09,4863
41.60742,.09,4872
41.60742,.09,4881
41.60742,.099,4890
41.60742,.099,4899
41.60742,.099,4908
41.9126,.099,4917
41.60742,.099,4926
41.9126,.099,4935
42.21777,.099,4944
41.9126,.099,4953
42.52295,.099,4962
42.52295,.099,4971
42.52295,.099,4980
42.52295,.099,4989
42.52295,.099,4998
42.52295,.099,5007
42.52295,.099,5016
42.52295,.099,5025
42.52295,.099,5034
42.52295,.099,5043
42.52295,.099,5052
42.52295,.099,5061
42.52295,.099,5070
42.52295,.099,5079
