"Ô¶¾°","1","1","1#-1000-100nm","1","2021-11-10 11:18:26",0,0,-1000,20,100,1
.8500977,-1006.84,0,-4.032,0,0,0,4776
0,1
.8500977,0,3
.8500977,0,12
.5449219,0,21
.5449219,0,30
.2397461,0,39
-.3706055,0,48
-.980957,0,57
-1.591309,0,66
-4.643066,0,75
-8.305176,0,84
-13.18799,0,93
-13.79834,0,102
-15.62939,0,111
-18.0708,0,120
-15.62939,0,129
-15.01904,0,138
-14.40869,0,147
-15.62939,0,156
-15.62939,0,165
-16.23975,0,174
-18.0708,0,183
-18.0708,0,192
-18.0708,0,201
-18.98633,0,210
-20.51221,0,219
-22.95361,0,228
-20.51221,0,237
-20.51221,0,246
-21.12256,0,255
-22.95361,0,264
-22.95361,0,273
-23.56396,0,282
-25.39502,0,291
-26.00537,0,300
-26.00537,0,309
-26.31055,0,318
-27.83643,0,327
-27.83643,0,336
-27.83643,0,345
-27.83643,0,354
-27.83643,0,363
-27.83643,0,372
-28.75195,0,381
-29.66748,0,390
-30.27783,0,399
-32.71924,0,408
-31.19336,0,417
-32.71924,0,426
-32.71924,0,435
-32.71924,0,444
-32.71924,0,453
-32.71924,0,462
-33.02441,-.009,471
-34.55029,-.009,480
-34.55029,-.009,489
-34.55029,-.009,498
-35.16064,-.009,507
-35.16064,-.009,516
-37.60205,-.009,525
-37.60205,-.009,534
-38.51758,-.009,543
-40.04346,-.009,552
-40.65381,-.009,561
-42.48486,-.009,570
-42.48486,-.009,579
-42.48486,-.009,588
-42.48486,-.009,597
-42.48486,-.009,606
-42.48486,-.009,615
-42.48486,-.009,624
-42.48486,-.009,633
-42.48486,-.009,642
-44.92627,-.009,651
-44.92627,-.009,660
-47.36768,-.009,669
-47.36768,-.009,678
-47.36768,-.009,687
-47.97803,-.009,696
-49.19873,-.009,705
-49.80908,-.009,714
-49.80908,-.009,723
-52.25049,-.009,732
-52.25049,-.009,741
-52.25049,-.009,750
-52.86084,-.009,759
-54.08154,-.009,768
-54.69189,-.009,777
-55.30225,-.018,786
-57.1333,-.018,795
-57.1333,-.018,804
-57.43848,-.018,813
-58.96436,-.018,822
-60.18506,-.018,831
-60.49023,-.018,840
-62.01611,-.018,849
-62.01611,-.018,858
-62.01611,-.018,867
-63.23682,-.018,876
-63.23682,-.018,885
-64.45752,-.018,894
-65.37305,-.018,903
-66.89893,-.018,912
-67.2041,-.018,921
-67.2041,-.018,930
-67.81445,-.018,939
-69.34033,-.027,948
-69.34033,-.027,957
-71.78174,-.027,966
-71.78174,-.027,975
-71.78174,-.027,984
-73.00244,-.027,993
-73.61279,-.027,1002
-74.22314,-.027,1011
-76.66455,-.027,1020
-76.66455,-.027,1029
-76.66455,-.027,1038
-77.58008,-.027,1047
