"Ô¶¾°","1","1","1#-1000","1","2021-11-10 11:09:59",0,0,-1000,20,10,1
6.874512,-1003.868,0,-3.042,0,0,0,28368
0,1
1.991699,0,6
1.991699,0,15
1.991699,0,24
1.991699,0,33
1.991699,0,42
1.991699,0,51
3.822754,0,60
4.433105,0,69
4.433105,0,78
5.958984,0,87
6.26416,0,96
6.874512,0,105
6.874512,0,114
6.874512,0,123
6.874512,0,132
6.569336,0,141
6.874512,0,150
6.569336,0,159
6.874512,0,168
6.874512,0,177
6.26416,0,186
6.26416,0,195
5.958984,0,204
5.043457,0,213
5.043457,0,222
4.433105,0,231
4.433105,0,240
4.433105,0,249
4.433105,0,258
4.433105,0,267
4.433105,0,276
3.822754,0,285
1.991699,0,294
3.822754,0,303
1.991699,0,312
1.991699,0,321
1.991699,0,330
1.991699,0,339
1.991699,0,348
1.991699,0,357
1.991699,0,366
1.991699,0,375
1.991699,0,384
1.991699,0,393
3.822754,0,402
3.822754,0,411
3.822754,0,420
1.991699,0,429
1.991699,0,438
1.991699,0,447
1.991699,0,456
3.822754,0,465
1.991699,0,474
1.991699,0,483
1.991699,0,492
1.991699,0,501
1.991699,0,510
1.991699,0,519
1.991699,0,528
1.991699,0,537
1.991699,0,546
1.991699,0,555
1.991699,0,564
1.686523,0,573
.7709961,0,582
-.449707,0,591
1.381348,0,600
1.381348,0,609
1.381348,0,618
1.991699,0,627
1.991699,0,636
1.991699,0,645
1.991699,0,654
1.991699,0,663
1.991699,0,672
1.991699,0,681
1.991699,0,690
1.991699,0,699
1.991699,0,708
1.991699,0,717
1.991699,0,726
1.991699,0,735
1.991699,0,744
1.381348,0,753
1.686523,0,762
1.686523,0,771
1.991699,0,780
1.991699,0,789
1.991699,0,798
1.991699,0,807
1.991699,0,816
1.991699,0,825
1.381348,0,834
1.991699,0,843
1.381348,0,852
1.381348,0,861
1.076172,0,870
.4658203,0,879
-.449707,0,888
-.449707,0,897
.7709961,0,906
.7709961,0,915
1.076172,0,924
-.449707,0,933
-.449707,0,942
-.449707,0,951
-1.060059,0,960
-.449707,0,969
-.449707,0,978
-.449707,0,987
-.449707,0,996
-.449707,0,1005
-.449707,0,1014
-.449707,0,1023
-.449707,0,1032
-.449707,0,1041
-1.060059,0,1050
-2.891113,0,1059
-.449707,0,1068
-.449707,0,1077
-1.060059,0,1086
-.449707,0,1095
-2.891113,0,1104
-1.060059,0,1113
-.449707,0,1122
-1.365234,0,1131
-.449707,0,1140
-.449707,0,1149
-.449707,0,1158
-1.365234,0,1167
-.449707,0,1176
-1.060059,0,1185
-1.060059,0,1194
-2.891113,0,1203
-.449707,0,1212
-1.365234,0,1221
-1.060059,0,1230
-1.060059,0,1239
-2.891113,0,1248
-1.060059,0,1257
-1.060059,0,1266
-1.060059,0,1275
-1.060059,0,1284
-1.060059,0,1293
-2.891113,0,1302
-2.891113,0,1311
-2.891113,0,1320
-2.891113,0,1329
-1.060059,0,1338
-1.060059,0,1347
-1.060059,0,1356
-2.891113,0,1365
