"Ô¶¾°","1","1","1#-1500-100nm","1","2021-11-10 11:22:23",0,0,-1500,20,100,1
3.460449,-1506.244,0,-4.518,0,0,0,5999
0,1
0,0,3
2.544922,0,12
3.460449,0,21
3.460449,0,30
3.460449,0,39
3.460449,0,48
2.850098,0,57
.4086914,0,66
-3.253418,-.009,75
-7.525879,-.009,84
-9.662109,-.009,93
-11.79834,-.009,102
-11.18799,-.009,111
-11.18799,-.009,120
-11.18799,-.009,129
-11.18799,-.009,138
-11.18799,-.009,147
-12.10352,-.009,156
-13.01904,-.009,165
-13.62939,-.009,174
-13.62939,-.009,183
-13.62939,-.009,192
-16.0708,-.009,201
-13.62939,-.009,210
-14.23975,-.009,219
-16.0708,-.009,228
-16.0708,-.009,237
-16.98633,-.009,246
-18.51221,-.009,255
-18.51221,-.009,264
-19.12256,-.009,273
-20.95361,-.009,282
-20.95361,-.009,291
-20.95361,-.009,300
-21.86914,-.009,309
-21.86914,-.009,318
-22.47949,-.009,327
-25.83643,-.009,336
-23.39502,-.009,345
-25.83643,-.009,354
-25.83643,-.009,363
-25.83643,-.009,372
-28.27783,-.009,381
-26.75195,-.009,390
-27.05713,-.009,399
-28.27783,-.009,408
-28.27783,-.009,417
-30.71924,-.009,426
-30.71924,-.009,435
-30.71924,-.009,444
-30.71924,-.009,453
-30.71924,-.009,462
-31.32959,-.009,471
-31.93994,-.009,480
-31.93994,-.009,489
-32.55029,-.009,498
-32.55029,-.009,507
-31.93994,-.009,516
-31.93994,-.009,525
-33.16064,-.009,534
-33.16064,-.009,543
-35.60205,-.009,552
-37.12793,-.009,561
-36.51758,-.009,570
-38.04346,-.009,579
-38.04346,-.009,588
-38.04346,-.009,597
-40.48486,-.009,606
-40.48486,-.009,615
-40.48486,-.009,624
-41.09521,-.009,633
-43.23145,-.009,642
-42.92627,-.009,651
-42.92627,-.009,660
-43.23145,-.009,669
-45.36768,-.009,678
-45.36768,-.009,687
-45.36768,-.009,696
-45.36768,-.009,705
-45.36768,-.009,714
-46.2832,-.009,723
-47.80908,-.018,732
-50.25049,-.018,741
-50.25049,-.018,750
-50.25049,-.018,759
-50.25049,-.018,768
-50.25049,-.018,777
-51.16602,-.018,786
-52.08154,-.018,795
-53.30225,-.018,804
-55.1333,-.018,813
-55.1333,-.018,822
-55.74365,-.018,831
-57.57471,-.018,840
-57.57471,-.018,849
-60.01611,-.018,858
-60.01611,-.018,867
-60.62646,-.018,876
-63.06787,-.018,885
-62.45752,-.018,894
-62.45752,-.018,903
-64.89893,-.018,912
-64.89893,-.018,921
-64.89893,-.027,930
-65.50928,-.027,939
-66.72998,-.027,948
-67.34033,-.027,957
-68.25586,-.027,966
-69.78174,-.027,975
-69.78174,-.027,984
-70.69727,-.027,993
-70.69727,-.027,1002
-71.61279,-.027,1011
-72.8335,-.027,1020
-74.66455,-.027,1029
-74.66455,-.027,1038
-74.96973,-.027,1047
-75.2749,-.027,1056
-75.88525,-.027,1065
-77.10596,-.036,1074
-77.71631,-.036,1083
-79.54736,-.036,1092
-79.54736,-.036,1101
-80.46289,-.036,1110
-81.98877,-.036,1119
-81.98877,-.036,1128
-82.59912,-.036,1137
-84.43018,-.036,1146
-84.43018,-.036,1155
-86.26123,-.036,1164
-85.65088,-.036,1173
-86.87158,-.045,1182
-89.31299,-.045,1191
-89.31299,-.045,1200
-89.31299,-.045,1209
-89.92334,-.045,1218
-91.14404,-.045,1227
-91.75439,-.045,1236
-91.75439,-.045,1245
-94.1958,-.045,1254
-94.1958,-.054,1263
-95.11133,-.054,1272
-95.4165,-.054,1281
-96.63721,-.054,1290
-97.55273,-.054,1299
-100.2993,-.054,1308
-99.07861,-.054,1317
-100.2993,-.054,1326
-100.9097,-.054,1335
-101.52,-.063,1344
-103.9614,-.063,1353
-104.2666,-.063,1362
-104.877,-.063,1371
-105.7925,-.063,1380
-106.4028,-.063,1389
-107.0132,-.063,1398
-108.8442,-.072,1407
-109.1494,-.072,1416
-110.3701,-.072,1425
-111.2856,-.072,1434
-113.7271,-.072,1443
-113.7271,-.072,1452
-113.7271,-.072,1461
-114.6426,-.072,1470
-114.9478,-.081,1479
-116.1685,-.081,1488
-117.084,-.081,1497
-118.6099,-.081,1506
-118.6099,-.081,1515
-120.4409,-.081,1524
-121.0513,-.09,1533
-121.0513,-.09,1542
-123.4927,-.09,1551
-123.4927,-.09,1560
-124.103,-.09,1569
-125.3237,-.099,1578
-126.2393,-.099,1587
-126.5444,-.099,1596
-128.3755,-.099,1605
-128.3755,-.099,1614
-129.9014,-.099,1623
-130.2065,-.099,1632
-130.8169,-.108,1641
-133.2583,-.108,1650
-133.2583,-.108,1659
-133.2583,-.108,1668
-134.1738,-.108,1677
-135.6997,-.108,1686
-135.6997,-.108,1695
-136.6152,-.117,1704
-138.1411,-.117,1713
-138.1411,-.117,1722
-138.1411,-.117,1731
-139.0566,-.117,1740
-140.5825,-.126,1749
-141.1929,-.126,1758
-143.0239,-.126,1767
-143.0239,-.126,1776
-143.6343,-.126,1785
-143.9395,-.126,1794
-145.4653,-.135,1803
-145.4653,-.135,1812
-146.0757,-.135,1821
-147.9067,-.135,1830
-147.9067,-.135,1839
-147.9067,-.144,1848
-148.5171,-.144,1857
-149.7378,-.144,1866
-149.7378,-.144,1875
-152.7896,-.144,1884
-150.3481,-.144,1893
-152.7896,-.153,1902
-152.7896,-.153,1911
-152.7896,-.153,1920
-153.3999,-.153,1929
-154.6206,-.162,1938
-155.231,-.162,1947
-155.231,-.162,1956
-156.1465,-.162,1965
-157.6724,-.171,1974
-157.6724,-.171,1983
-158.2827,-.171,1992
-158.8931,-.171,2001
-160.1138,-.171,2010
-160.7241,-.18,2019
-162.5552,-.18,2028
-162.5552,-.18,2037
-162.5552,-.18,2046
-163.1655,-.189,2055
-164.3862,-.189,2064
-164.9966,-.189,2073
-164.9966,-.198,2082
-164.9966,-.198,2091
-167.438,-.198,2100
-167.438,-.198,2109
-167.438,-.207,2118
-168.3535,-.207,2127
-169.269,-.207,2136
-169.269,-.207,2145
-170.4897,-.216,2154
-170.4897,-.216,2163
-172.3208,-.216,2172
-173.5415,-.216,2181
-172.9312,-.225,2190
-173.2363,-.225,2199
-174.7622,-.225,2208
-177.2036,-.234,2217
-175.3726,-.234,2226
-177.2036,-.234,2235
-177.2036,-.243,2244
-177.5088,-.243,2253
-178.1191,-.243,2262
-178.4243,-.252,2271
-179.645,-.252,2280
-179.645,-.252,2289
-180.2554,-.252,2298
-182.0864,-.261,2307
-182.0864,-.261,2316
-182.3916,-.27,2325
-182.6968,-.27,2334
-184.5278,-.27,2343
-184.5278,-.279,2352
-185.1382,-.279,2361
-186.9692,-.279,2370
-187.5796,-.288,2379
-186.9692,-.288,2388
-187.2744,-.288,2397
-188.8003,-.297,2406
-188.8003,-.297,2415
-189.4106,-.297,2424
-190.021,-.306,2433
-191.8521,-.306,2442
-191.8521,-.315,2451
-192.1572,-.315,2460
-191.8521,-.315,2469
-192.1572,-.324,2478
-192.4624,-.324,2487
-194.2935,-.324,2496
-194.2935,-.333,2505
-194.2935,-.333,2514
-194.2935,-.342,2523
-194.9038,-.342,2532
-194.9038,-.351,2541
-196.7349,-.351,2550
-196.7349,-.36,2559
-196.7349,-.36,2568
-196.7349,-.36,2577
-197.04,-.369,2586
-197.6504,-.378,2595
-198.5659,-.378,2604
-198.5659,-.387,2613
-199.1763,-.387,2622
-199.1763,-.387,2631
-199.1763,-.396,2640
-199.7866,-.396,2649
-201.6177,-.405,2658
-201.6177,-.414,2667
-201.6177,-.414,2676
-201.6177,-.423,2685
-201.9229,-.423,2694
-202.8384,-.432,2703
-203.4487,-.432,2712
-204.0591,-.441,2721
-204.0591,-.441,2730
-204.6694,-.45,2739
-206.5005,-.45,2748
-206.5005,-.459,2757
-206.5005,-.459,2766
-206.5005,-.468,2775
-207.1108,-.477,2784
-207.7212,-.477,2793
-207.7212,-.486,2802
-208.3315,-.495,2811
-208.9419,-.495,2820
-208.9419,-.504,2829
-209.5522,-.504,2838
-208.9419,-.513,2847
-209.5522,-.522,2856
-211.3833,-.522,2865
-211.3833,-.531,2874
-211.3833,-.54,2883
-211.3833,-.54,2892
-211.3833,-.549,2901
-211.6885,-.558,2910
-211.3833,-.567,2919
-211.3833,-.567,2928
-211.6885,-.576,2937
-211.9937,-.585,2946
-211.9937,-.585,2955
-212.604,-.594,2964
-213.8247,-.603,2973
-213.8247,-.612,2982
-213.8247,-.612,2991
-213.8247,-.621,3000
-213.8247,-.63,3009
-214.4351,-.639,3018
-214.1299,-.648,3027
-214.4351,-.648,3036
-214.4351,-.657,3045
-214.7402,-.666,3054
-216.2661,-.675,3063
-216.2661,-.684,3072
-216.2661,-.693,3081
-216.2661,-.702,3090
-216.2661,-.711,3099
-216.2661,-.72,3108
-216.2661,-.72,3117
-216.2661,-.729,3126
-217.4868,-.738,3135
-218.0972,-.747,3144
-216.5713,-.756,3153
-217.4868,-.765,3162
-217.4868,-.774,3171
-217.4868,-.783,3180
-218.0972,-.792,3189
-218.7075,-.801,3198
-218.7075,-.81,3207
-218.7075,-.819,3216
