"Ô¶¾°","1","1","1#-1900-100nm","1","2021-11-10 11:24:34",0,0,1900,20,100,1
1904.24,-4.939941,4.689,0,0,0,0,6999
0,1
1.163574,0,3
1.163574,0,12
1.163574,0,21
-5.712891E-02,0,30
1.163574,0,39
1.163574,0,48
.5532227,0,57
.2480469,0,66
-3.719238,0,75
-3.719238,0,84
-4.32959,0,93
-3.719238,0,102
-4.024414,0,111
-3.719238,0,120
-3.719238,0,129
-3.719238,0,138
-3.719238,0,147
-5.712891E-02,0,156
.5532227,0,165
.5532227,0,174
-5.712891E-02,0,183
.2480469,0,192
1.163574,0,201
1.163574,0,210
1.163574,0,219
1.163574,0,228
2.994629,0,237
3.60498,0,246
3.60498,0,255
3.60498,0,264
4.825684,0,273
5.130859,0,282
5.130859,0,291
6.046387,0,300
6.046387,0,309
6.046387,0,318
6.046387,0,327
6.046387,0,336
6.046387,0,345
7.877441,0,354
8.182617,0,363
8.487793,0,372
9.40332,0,381
10.31885,.009,390
10.9292,.009,399
10.9292,.009,408
10.9292,.009,417
10.9292,.009,426
12.76025,.009,435
13.37061,.009,444
13.98096,.009,453
14.89648,.009,462
14.59131,.009,471
14.89648,.009,480
15.81201,.009,489
15.81201,.009,498
15.81201,.009,507
15.81201,.009,516
15.81201,.009,525
15.81201,.009,534
18.25342,.009,543
18.25342,.009,552
19.7793,.009,561
20.69482,.009,570
20.69482,.009,579
20.69482,.009,588
20.69482,.009,597
22.52588,.009,606
23.13623,.009,615
22.52588,.009,624
23.74658,.009,633
24.35693,.009,642
24.66211,.009,651
25.57764,.009,660
25.57764,.009,669
27.10352,.009,678
27.71387,.009,687
28.01904,.009,696
28.01904,.009,705
29.23975,.009,714
29.23975,.009,723
29.54492,.009,732
30.46045,.009,741
30.46045,.009,750
32.90186,.009,759
33.51221,.009,768
34.73291,.009,777
35.34326,.009,786
35.34326,.009,795
37.78467,.009,804
38.39502,.009,813
39.31055,.009,822
39.9209,.009,831
40.22607,.009,840
40.22607,.009,849
40.22607,.009,858
42.66748,.009,867
43.27783,.009,876
44.49854,.009,885
45.10889,.009,894
45.10889,.009,903
45.10889,.009,912
45.10889,.009,921
46.93994,.009,930
47.55029,.009,939
47.55029,.009,948
49.07617,.009,957
48.771,.009,966
49.68652,.009,975
49.9917,.009,984
49.9917,.009,993
51.82275,.009,1002
52.43311,.009,1011
53.65381,.009,1020
53.04346,.009,1029
53.65381,.009,1038
54.87451,.009,1047
54.87451,.009,1056
56.40039,.009,1065
57.31592,.009,1074
58.8418,.009,1083
57.92627,.009,1092
59.75732,.009,1101
61.58838,.009,1110
61.58838,.009,1119
62.19873,.018,1128
63.41943,.018,1137
64.02979,.018,1146
64.02979,.018,1155
64.64014,.018,1164
66.16602,.018,1173
67.08154,.018,1182
67.08154,.018,1191
68.30225,.018,1200
68.30225,.018,1209
68.30225,.018,1218
69.52295,.018,1227
69.52295,.018,1236
69.52295,.018,1245
71.354,.018,1254
71.96436,.018,1263
72.57471,.018,1272
73.49023,.018,1281
73.49023,.018,1290
74.40576,.018,1299
74.40576,.018,1308
76.23682,.018,1317
74.40576,.018,1326
76.84717,.027,1335
76.84717,.027,1344
78.37305,.027,1353
78.9834,.027,1362
79.28857,.027,1371
79.28857,.027,1380
79.28857,.027,1389
80.81445,.027,1398
81.11963,.027,1407
81.72998,.036,1416
82.34033,.036,1425
81.72998,.036,1434
83.25586,.036,1443
83.56104,.036,1452
83.25586,.036,1461
84.17139,.036,1470
84.17139,.036,1479
86.00244,.045,1488
86.61279,.045,1497
86.61279,.045,1506
88.13867,.045,1515
88.13867,.045,1524
89.0542,.054,1533
89.0542,.054,1542
89.0542,.054,1551
90.88525,.054,1560
91.49561,.054,1569
91.49561,.063,1578
91.49561,.063,1587
93.32666,.063,1596
93.93701,.063,1605
93.93701,.063,1614
93.93701,.072,1623
95.76807,.072,1632
96.37842,.072,1641
96.98877,.072,1650
96.37842,.081,1659
98.81982,.081,1668
98.81982,.081,1677
98.81982,.081,1686
100.3457,.081,1695
101.2612,.09,1704
98.81982,.09,1713
101.2612,.09,1722
101.8716,.099,1731
101.8716,.099,1740
102.7871,.099,1749
103.7026,.099,1758
103.7026,.108,1767
103.7026,.108,1776
105.5337,.108,1785
103.7026,.117,1794
105.5337,.117,1803
106.144,.117,1812
107.0596,.126,1821
107.9751,.126,1830
108.5854,.126,1839
108.5854,.135,1848
108.5854,.135,1857
108.5854,.135,1866
110.4165,.144,1875
111.0269,.144,1884
111.0269,.144,1893
111.0269,.153,1902
111.6372,.153,1911
112.5527,.162,1920
113.4683,.162,1929
113.4683,.162,1938
113.4683,.171,1947
113.4683,.171,1956
113.4683,.18,1965
113.4683,.18,1974
115.9097,.189,1983
115.9097,.189,1992
115.9097,.189,2001
117.1304,.198,2010
117.1304,.198,2019
117.4355,.207,2028
118.0459,.207,2037
118.0459,.216,2046
118.3511,.216,2055
117.4355,.225,2064
118.3511,.225,2073
118.3511,.234,2082
118.3511,.234,2091
118.3511,.243,2100
118.3511,.243,2109
118.3511,.252,2118
118.3511,.252,2127
120.7925,.261,2136
120.7925,.27,2145
120.7925,.27,2154
120.7925,.279,2163
122.0132,.288,2172
122.0132,.288,2181
122.0132,.297,2190
123.2339,.297,2199
122.6235,.306,2208
123.2339,.315,2217
123.2339,.315,2226
123.2339,.324,2235
123.2339,.333,2244
123.2339,.333,2253
123.2339,.342,2262
123.2339,.351,2271
123.2339,.36,2280
124.7598,.36,2289
124.7598,.369,2298
125.3701,.378,2307
125.6753,.387,2316
125.6753,.396,2325
127.2012,.396,2334
127.2012,.405,2343
127.5063,.414,2352
128.1167,.423,2361
128.1167,.432,2370
128.1167,.432,2379
128.1167,.441,2388
129.9478,.45,2397
130.5581,.459,2406
131.1685,.468,2415
131.1685,.477,2424
131.7788,.477,2433
132.6943,.486,2442
132.9995,.495,2451
132.9995,.504,2460
134.8306,.513,2469
135.4409,.522,2478
136.0513,.531,2487
137.5771,.54,2496
137.8823,.54,2505
137.8823,.549,2514
137.8823,.558,2523
139.7134,.567,2532
140.9341,.576,2541
140.9341,.585,2550
141.8496,.594,2559
142.7651,.603,2568
142.7651,.612,2577
142.7651,.621,2586
144.5962,.621,2595
145.2065,.63,2604
145.8169,.639,2613
146.7324,.648,2622
147.6479,.657,2631
147.6479,.666,2640
147.6479,.675,2649
150.0894,.684,2658
150.0894,.693,2667
150.6997,.702,2676
151.9204,.711,2685
152.5308,.72,2694
152.5308,.729,2703
154.9722,.729,2712
155.5825,.738,2721
156.498,.747,2730
157.4136,.756,2739
157.4136,.765,2748
159.855,.774,2757
160.4653,.783,2766
161.686,.792,2775
162.2964,.801,2784
162.2964,.81,2793
164.7378,.819,2802
165.9585,.828,2811
166.874,.837,2820
167.1792,.846,2829
169.0103,.846,2838
169.6206,.855,2847
170.8413,.864,2856
171.1465,.873,2865
172.062,.882,2874
174.5034,.891,2883
175.7241,.9,2892
176.9448,.909,2901
176.9448,.909,2910
179.9966,.918,2919
180.6069,.927,2928
