"Ô¶¾°","1","1","1#-545-100nm","1","2021-11-10 11:14:35",0,0,-545,20,100,1
0,-555.2319,0,-3.051,0,0,0,3658
0,1
-.4223633,0,3
-.4223633,0,12
-.4223633,0,21
-.4223633,0,30
-.4223633,0,39
-.4223633,0,48
-.4223633,-.009,57
-1.032715,-.009,66
-3.474121,-.009,75
-5.305176,-.009,84
-7.746582,-.009,93
-10.18799,-.009,102
-10.79834,-.009,111
-12.01904,-.009,120
-10.79834,-.009,129
-11.10352,-.009,138
-10.79834,-.009,147
-10.79834,-.009,156
-11.10352,-.009,165
-12.62939,-.009,174
-13.23975,-.009,183
-15.0708,-.009,192
-15.0708,-.009,201
-15.37598,-.009,210
-16.2915,-.009,219
-17.51221,-.009,228
-17.51221,-.009,237
-17.51221,-.009,246
-18.12256,-.009,255
-19.95361,-.009,264
-19.95361,-.009,273
-19.95361,-.009,282
-19.95361,-.009,291
-20.56396,-.009,300
-20.25879,-.009,309
-20.86914,-.009,318
-20.86914,-.009,327
-23.00537,-.009,336
-22.39502,-.009,345
-23.00537,-.009,354
-24.83643,-.009,363
-24.83643,-.009,372
-24.83643,-.009,381
-25.44678,-.009,390
-25.75195,-.009,399
-25.44678,-.009,408
-26.05713,-.009,417
-26.66748,-.009,426
-27.88818,-.009,435
-29.71924,-.009,444
-30.02441,-.009,453
-29.71924,-.009,462
-30.63477,-.009,471
-30.93994,-.009,480
-31.55029,-.009,489
-32.16064,-.009,498
-33.07617,-.009,507
-34.60205,-.009,516
-34.60205,-.009,525
-35.2124,-.009,534
-35.82275,-.009,543
-34.60205,-.009,552
-35.82275,-.009,561
-35.2124,-.009,570
-35.51758,-.009,579
-36.12793,-.009,588
-37.65381,-.009,597
-39.48486,-.009,606
-39.79004,-.009,615
-41.92627,-.009,624
-41.92627,-.009,633
-44.36768,-.009,642
-44.36768,-.009,651
-45.2832,-.009,660
-45.58838,-.009,669
-46.19873,-.009,678
-46.80908,-.009,687
-46.80908,-.009,696
-46.80908,-.009,705
-47.72461,-.009,714
-46.80908,-.009,723
-46.80908,-.009,732
-49.25049,-.009,741
-49.25049,-.009,750
-49.25049,-.018,759
-49.25049,-.018,768
-50.16602,-.018,777
-51.99707,-.018,786
-54.1333,-.018,795
-54.1333,-.018,804
-55.65918,-.018,813
-57.18506,-.018,822
-59.01611,-.018,831
-59.01611,-.018,840
-59.32129,-.018,849
-60.23682,-.018,858
-61.45752,-.018,867
-61.45752,-.018,876
-62.37305,-.018,885
-63.89893,-.018,894
-63.89893,-.018,903
-63.89893,-.018,912
-64.81445,-.018,921
-64.81445,-.018,930
-64.81445,-.018,939
-66.34033,-.018,948
-67.25586,-.018,957
-68.78174,-.018,966
-69.39209,-.018,975
-70.61279,-.018,984
-71.22314,-.018,993
-71.8335,-.018,1002
-73.66455,-.018,1011
-73.66455,-.018,1020
-73.66455,-.018,1029
-74.2749,-.018,1038
-74.88525,-.018,1047
-74.88525,-.018,1056
-76.10596,-.027,1065
-77.02148,-.027,1074
-78.54736,-.027,1083
-78.54736,-.027,1092
-79.46289,-.027,1101
-80.07324,-.027,1110
-81.29395,-.027,1119
-83.43018,-.027,1128
-83.43018,-.027,1137
-83.43018,-.027,1146
-85.26123,-.027,1155
-85.87158,-.027,1164
-88.31299,-.027,1173
-88.31299,-.027,1182
-88.31299,-.027,1191
-88.31299,-.027,1200
-89.22852,-.027,1209
-90.14404,-.027,1218
-93.1958,-.036,1227
-93.1958,-.036,1236
-93.80615,-.036,1245
-95.63721,-.036,1254
-95.63721,-.036,1263
-96.24756,-.036,1272
-98.07861,-.036,1281
-98.07861,-.036,1290
-98.99414,-.036,1299
-100.52,-.036,1308
-102.9614,-.036,1317
-102.9614,-.045,1326
-102.9614,-.045,1335
-105.4028,-.045,1344
-105.4028,-.045,1353
-105.4028,-.045,1362
-107.8442,-.045,1371
-107.8442,-.045,1380
-108.7598,-.045,1389
-110.2856,-.045,1398
-110.896,-.054,1407
-112.7271,-.054,1416
-112.7271,-.054,1425
-113.3374,-.054,1434
-115.1685,-.054,1443
-115.1685,-.054,1452
-115.7788,-.054,1461
-117.6099,-.054,1470
-117.6099,-.054,1479
-118.8306,-.054,1488
-120.0513,-.063,1497
-122.4927,-.063,1506
-122.4927,-.063,1515
-122.4927,-.063,1524
-122.4927,-.063,1533
-123.103,-.063,1542
-123.4082,-.063,1551
-124.9341,-.063,1560
-124.9341,-.063,1569
-127.3755,-.063,1578
-127.3755,-.063,1587
-127.9858,-.063,1596
-128.291,-.072,1605
-129.8169,-.072,1614
-130.1221,-.072,1623
-132.2583,-.072,1632
-132.2583,-.072,1641
-132.5635,-.072,1650
-133.479,-.072,1659
-134.6997,-.072,1668
-135.3101,-.072,1677
-137.1411,-.072,1686
-137.1411,-.081,1695
-138.0566,-.081,1704
-139.5825,-.081,1713
-139.5825,-.081,1722
-139.5825,-.081,1731
-140.498,-.081,1740
-142.0239,-.081,1749
-142.0239,-.081,1758
-143.2446,-.09,1767
-144.4653,-.09,1776
-145.0757,-.09,1785
-145.3809,-.09,1794
-146.9067,-.09,1803
-148.1274,-.09,1812
-147.8223,-.09,1821
-149.3481,-.09,1830
-149.9585,-.099,1839
-151.7896,-.099,1848
-151.7896,-.099,1857
-152.0947,-.099,1866
-152.3999,-.099,1875
-153.3154,-.099,1884
-154.231,-.099,1893
-154.8413,-.099,1902
-156.6724,-.099,1911
-156.6724,-.108,1920
-157.2827,-.108,1929
-157.8931,-.108,1938
-159.1138,-.108,1947
-159.1138,-.108,1956
-159.7241,-.108,1965
-161.5552,-.108,1974
-161.5552,-.108,1983
