"Ô¶¾°","1","1","1#-545","1","2021-11-10 10:20:15",0,0,-545,20,10,1
7.640137,-549.0005,0,-.684,0,0,0,16687
0,1
0,0,3
.315918,0,12
.315918,0,21
.315918,0,30
.315918,-.009,39
-.2944336,-.009,48
.315918,-.009,57
.315918,0,66
1.841797,0,75
2.757324,0,84
2.757324,0,93
5.19873,0,102
6.419434,0,111
7.334961,0,120
7.029785,0,129
5.809082,0,138
5.809082,0,147
4.588379,0,156
2.757324,0,165
2.757324,0,174
2.757324,0,183
2.757324,0,192
2.757324,0,201
2.757324,0,210
2.757324,0,219
2.757324,0,228
4.588379,0,237
4.588379,0,246
4.588379,0,255
4.588379,0,264
2.757324,0,273
2.757324,0,282
2.757324,0,291
2.757324,0,300
2.757324,0,309
2.757324,0,318
4.588379,0,327
4.588379,0,336
2.757324,0,345
4.588379,0,354
2.757324,0,363
2.757324,0,372
4.588379,0,381
2.757324,0,390
2.757324,0,399
2.757324,0,408
2.757324,0,417
2.757324,0,426
2.757324,0,435
1.536621,0,444
2.757324,0,453
2.757324,0,462
2.757324,0,471
2.757324,0,480
2.757324,0,489
2.757324,0,498
2.146973,0,507
2.757324,0,516
2.146973,0,525
2.757324,0,534
2.452148,0,543
2.757324,0,552
2.757324,0,561
2.757324,0,570
2.757324,0,579
2.757324,0,588
2.757324,0,597
2.452148,0,606
1.841797,0,615
2.757324,0,624
2.757324,0,633
2.757324,0,642
2.757324,0,651
2.757324,0,660
2.757324,0,669
2.757324,0,678
2.146973,0,687
2.146973,0,696
1.536621,0,705
1.536621,0,714
1.536621,0,723
1.536621,0,732
.315918,0,741
1.841797,0,750
1.841797,0,759
2.146973,0,768
2.452148,0,777
2.452148,0,786
2.452148,0,795
2.452148,0,804
1.841797,0,813
.9262695,0,822
.9262695,0,831
.9262695,0,840
.315918,0,849
1.841797,0,858
.315918,0,867
.9262695,0,876
-.2944336,0,885
1.841797,0,894
.315918,0,903
.315918,0,912
.315918,0,921
.315918,0,930
-.2944336,0,939
.9262695,0,948
1.536621,0,957
.9262695,0,966
1.536621,0,975
.315918,0,984
-.2944336,-.009,993
-2.125488,-.009,1002
-2.125488,-.009,1011
-2.125488,-.009,1020
-.5996094,-.009,1029
-.2944336,-.009,1038
.315918,-.009,1047
-.2944336,-.009,1056
-.2944336,-.009,1065
.315918,-.009,1074
-2.125488,-.009,1083
-2.125488,-.009,1092
-.2944336,-.009,1101
-.2944336,-.009,1110
-.2944336,-.009,1119
-2.125488,-.009,1128
-2.125488,-.009,1137
-2.125488,-.009,1146
-2.125488,-.009,1155
-2.125488,-.009,1164
-2.125488,-.009,1173
-2.125488,-.009,1182
-2.125488,-.009,1191
-2.125488,-.009,1200
-2.125488,-.009,1209
-2.125488,-.009,1218
-2.125488,-.009,1227
-2.125488,-.009,1236
-2.125488,-.009,1245
-2.125488,-.009,1254
-2.125488,-.009,1263
-2.125488,-.009,1272
-2.125488,-.009,1281
-.2944336,-.009,1290
-2.125488,-.009,1299
-2.125488,-.009,1308
-2.125488,-.009,1317
-2.125488,-.009,1326
-2.125488,-.009,1335
-2.125488,-.009,1344
-3.041016,-.009,1353
-2.125488,-.009,1362
-2.73584,-.009,1371
-2.125488,-.009,1380
-2.125488,-.009,1389
-2.125488,-.009,1398
-2.125488,-.009,1407
-2.125488,-.009,1416
-2.125488,-.009,1425
-2.125488,-.009,1434
-2.125488,-.009,1443
-2.125488,-.009,1452
-2.125488,-.009,1461
-2.430664,-.009,1470
-2.125488,-.009,1479
-2.73584,-.009,1488
-2.125488,-.009,1497
-3.956543,-.009,1506
-3.346191,-.009,1515
-3.956543,-.009,1524
-3.346191,-.009,1533
-3.956543,-.009,1542
-3.956543,-.009,1551
-3.041016,-.009,1560
-3.956543,-.009,1569
-3.041016,-.009,1578
-3.041016,-.009,1587
-3.041016,-.009,1596
-3.346191,-.009,1605
-3.956543,-.009,1614
-4.566895,-.009,1623
-3.956543,-.009,1632
-4.566895,-.009,1641
-3.956543,-.009,1650
-4.566895,-.009,1659
-4.566895,-.009,1668
-4.566895,-.009,1677
-3.956543,-.009,1686
-3.956543,-.009,1695
-4.566895,-.009,1704
-5.177246,-.009,1713
-4.566895,-.009,1722
-7.008301,-.009,1731
-4.566895,-.009,1740
-3.956543,-.009,1749
-4.566895,-.009,1758
-4.566895,-.009,1767
-4.566895,-.009,1776
-4.566895,-.009,1785
-4.566895,-.009,1794
-4.566895,-.009,1803
-4.566895,-.009,1812
-4.566895,-.009,1821
-5.177246,-.009,1830
-5.177246,-.009,1839
-5.177246,-.009,1848
-7.008301,-.009,1857
-7.008301,-.009,1866
-5.177246,-.009,1875
-7.008301,-.009,1884
-5.177246,-.009,1893
-5.177246,-.009,1902
-7.008301,-.009,1911
-7.008301,-.009,1920
-7.008301,-.009,1929
-7.008301,-.009,1938
-7.008301,-.009,1947
-7.008301,-.009,1956
-7.008301,-.009,1965
-7.008301,-.009,1974
-7.008301,-.009,1983
-7.008301,-.009,1992
-7.008301,-.009,2001
-7.008301,-.009,2010
-7.008301,-.009,2019
-7.008301,-.009,2028
-7.008301,-.009,2037
-7.008301,-.009,2046
-7.008301,-.009,2055
-5.177246,-.009,2064
-5.177246,-.009,2073
-7.008301,-.009,2082
-7.008301,-.009,2091
-7.008301,-.009,2100
-7.008301,-.009,2109
-7.008301,-.009,2118
-7.008301,-.009,2127
-7.008301,-.009,2136
-7.923828,-.009,2145
-7.008301,-.009,2154
-7.008301,-.009,2163
-7.008301,-.009,2172
-7.008301,-.009,2181
-7.008301,-.009,2190
-7.313477,-.009,2199
-7.008301,-.009,2208
-8.229004,-.009,2217
-7.923828,-.009,2226
-7.923828,-.009,2235
-7.618652,-.009,2244
-7.618652,-.009,2253
-8.229004,-.009,2262
-7.008301,-.009,2271
-7.008301,-.009,2280
-7.313477,-.009,2289
-8.229004,-.009,2298
-8.229004,-.009,2307
-9.449707,-.009,2316
-8.839355,-.009,2325
-7.923828,-.009,2334
-8.839355,-.009,2343
-10.06006,-.009,2352
-8.229004,-.009,2361
-9.449707,-.009,2370
-8.229004,-.009,2379
-8.839355,-.009,2388
-9.449707,-.009,2397
-9.449707,-.009,2406
-8.839355,-.009,2415
-9.449707,-.009,2424
-9.449707,-.009,2433
-8.839355,-.009,2442
-8.839355,-.009,2451
-8.839355,-.009,2460
-9.449707,-.009,2469
-7.923828,-.009,2478
-8.229004,-.009,2487
-7.923828,-.009,2496
-9.449707,-.009,2505
-9.449707,-.009,2514
-9.449707,-.009,2523
-9.449707,-.009,2532
-9.449707,-.009,2541
-9.449707,-.009,2550
-10.06006,-.009,2559
-10.36523,-.009,2568
-9.449707,-.009,2577
-9.449707,-.009,2586
-9.449707,-.009,2595
-10.06006,-.009,2604
-9.449707,-.009,2613
-9.449707,-.009,2622
-10.06006,-.009,2631
-11.89111,-.009,2640
-10.36523,-.009,2649
-11.89111,-.009,2658
-9.754883,-.009,2667
-9.449707,-.009,2676
-9.449707,-.009,2685
-9.449707,-.009,2694
-9.449707,-.009,2703
-10.06006,-.009,2712
-10.36523,-.009,2721
-10.36523,-.009,2730
-11.89111,-.009,2739
-11.89111,-.009,2748
-11.89111,-.009,2757
-11.89111,-.009,2766
-11.89111,-.009,2775
-11.89111,-.009,2784
-11.89111,-.009,2793
-11.89111,-.009,2802
-11.89111,-.009,2811
-11.89111,-.009,2820
-11.89111,-.009,2829
-11.89111,-.009,2838
-11.89111,-.009,2847
-12.50146,-.009,2856
-12.50146,-.009,2865
-13.11182,-.009,2874
-12.19629,-.009,2883
-12.19629,-.009,2892
-12.50146,-.009,2901
-12.19629,-.009,2910
-11.89111,-.009,2919
-11.89111,-.009,2928
-11.89111,-.009,2937
-11.89111,-.009,2946
-11.89111,-.009,2955
-13.72217,-.009,2964
-12.50146,-.009,2973
-12.19629,-.009,2982
-14.33252,-.009,2991
-12.50146,-.009,3000
-12.80664,-.009,3009
-13.11182,-.009,3018
-13.11182,-.009,3027
-13.11182,-.009,3036
-11.89111,-.009,3045
-12.80664,-.009,3054
-11.89111,-.009,3063
-11.89111,-.009,3072
-11.89111,-.009,3081
-12.50146,-.009,3090
-12.50146,-.009,3099
-14.33252,-.009,3108
-14.33252,-.009,3117
