"Ô¶¾°","1","1","1#1000-100nm","1","2021-11-10 11:16:34",0,0,1000,20,100,1
1007.756,-11.83643,3.762,0,0,0,0,4788
0,1
0,0,3
.980957,0,12
1.896484,0,21
1.591309,0,30
2.506836,0,39
2.20166,0,48
.980957,0,57
-2.070801,0,66
-6.953613,0,75
-9.39502,0,84
-11.83643,0,93
-11.83643,0,102
-11.83643,0,111
-9.700195,0,120
-8.479492,0,129
-7.563965,0,138
-7.563965,0,147
-6.953613,0,156
-6.953613,0,165
-6.953613,0,174
-6.953613,0,183
-6.953613,0,192
-5.122559,0,201
-4.512207,0,210
-4.512207,0,219
-4.512207,0,228
-5.122559,0,237
-3.291504,0,246
-2.375977,0,255
-2.070801,0,264
-2.681152,0,273
-2.070801,0,282
-2.070801,0,291
-2.070801,0,300
-2.070801,0,309
.3706055,0,318
.3706055,0,327
.3706055,0,336
1.591309,0,345
1.896484,0,354
1.591309,0,363
2.20166,0,372
2.812012,0,381
2.812012,0,390
2.812012,0,399
4.337891,0,408
4.643066,0,417
5.253418,0,426
6.474121,0,435
6.779297,0,444
7.084473,0,453
7.694824,0,462
7.694824,0,471
7.694824,0,480
7.694824,0,489
7.694824,0,498
7.694824,0,507
10.13623,0,516
10.13623,0,525
10.13623,0,534
10.13623,0,543
11.66211,0,552
12.57764,0,561
12.57764,0,570
12.57764,0,579
12.57764,0,588
12.57764,0,597
15.01904,0,606
15.01904,0,615
16.23975,0,624
16.54492,0,633
17.46045,0,642
17.46045,0,651
17.46045,0,660
17.46045,0,669
17.46045,0,678
17.46045,0,687
19.90186,0,696
19.90186,0,705
19.90186,0,714
22.34326,0,723
22.34326,0,732
22.34326,0,741
22.34326,0,750
24.17432,0,759
24.78467,0,768
24.78467,0,777
24.78467,0,786
26.31055,0,795
26.31055,.009,804
27.22607,.009,813
27.22607,.009,822
29.05713,.009,831
29.05713,.009,840
29.66748,.009,849
30.27783,.009,858
30.88818,.009,867
30.88818,.009,876
32.10889,.009,885
32.10889,.009,894
32.10889,.009,903
33.93994,.009,912
34.55029,.009,921
34.55029,.009,930
36.07617,.009,939
36.38135,.009,948
36.9917,.009,957
38.82275,.009,966
40.65381,.009,975
41.26416,.009,984
41.87451,.009,993
41.87451,.009,1002
41.87451,.009,1011
41.87451,.009,1020
44.31592,.009,1029
44.31592,.009,1038
44.31592,.009,1047
44.92627,.009,1056
46.75732,.009,1065
46.75732,.009,1074
46.75732,.009,1083
46.75732,.009,1092
48.58838,.009,1101
49.80908,.009,1110
50.72461,.009,1119
51.64014,.009,1128
53.16602,.009,1137
53.16602,.009,1146
53.77637,.009,1155
53.16602,.009,1164
54.08154,.009,1173
55.9126,.009,1182
56.52295,.009,1191
56.52295,.009,1200
56.52295,.009,1209
58.354,.009,1218
61.40576,.009,1227
61.40576,.009,1236
63.54199,.009,1245
63.84717,.009,1254
63.84717,.009,1263
65.37305,.009,1272
66.28857,.009,1281
66.28857,.009,1290
66.28857,.009,1299
68.11963,.009,1308
68.72998,.009,1317
70.56104,.018,1326
70.25586,.018,1335
71.17139,.018,1344
72.69727,.018,1353
73.00244,.018,1362
73.61279,.018,1371
73.61279,.018,1380
75.13867,.018,1389
75.74902,.018,1398
76.0542,.018,1407
76.0542,.018,1416
77.88525,.018,1425
78.49561,.018,1434
78.49561,.018,1443
80.02148,.018,1452
80.93701,.018,1461
80.93701,.018,1470
83.37842,.018,1479
80.93701,.018,1488
83.37842,.018,1497
83.37842,.018,1506
83.98877,.018,1515
85.20947,.018,1524
85.81982,.018,1533
85.81982,.027,1542
87.65088,.027,1551
88.26123,.027,1560
88.26123,.027,1569
89.48193,.027,1578
89.78711,.027,1587
90.70264,.027,1596
90.70264,.027,1605
92.22852,.027,1614
92.53369,.027,1623
93.14404,.027,1632
93.14404,.027,1641
93.75439,.027,1650
94.9751,.036,1659
95.28027,.036,1668
95.58545,.036,1677
95.58545,.036,1686
95.58545,.036,1695
98.02686,.036,1704
98.02686,.036,1713
99.24756,.045,1722
99.55273,.045,1731
100.4683,.045,1740
100.4683,.045,1749
100.4683,.045,1758
102.2993,.045,1767
102.2993,.054,1776
102.9097,.054,1785
104.1304,.054,1794
104.4355,.054,1803
104.7407,.054,1812
105.3511,.054,1821
105.3511,.054,1830
105.3511,.054,1839
107.7925,.063,1848
107.7925,.063,1857
109.3184,.063,1866
109.9287,.063,1875
110.2339,.063,1884
110.2339,.063,1893
110.2339,.072,1902
110.2339,.072,1911
112.6753,.072,1920
112.6753,.072,1929
112.6753,.081,1938
114.2012,.081,1947
114.5063,.081,1956
115.1167,.081,1965
115.1167,.09,1974
115.1167,.09,1983
115.1167,.09,1992
116.9478,.09,2001
118.7788,.09,2010
119.3892,.099,2019
119.9995,.099,2028
119.9995,.099,2037
119.9995,.099,2046
122.4409,.108,2055
121.8306,.108,2064
122.4409,.108,2073
123.6616,.108,2082
124.272,.117,2091
124.8823,.117,2100
124.8823,.117,2109
127.3237,.126,2118
127.3237,.126,2127
127.9341,.126,2136
128.8496,.135,2145
129.7651,.135,2154
129.7651,.135,2163
129.7651,.135,2172
131.5962,.144,2181
132.2065,.144,2190
133.4272,.144,2199
132.2065,.153,2208
134.6479,.153,2217
134.6479,.153,2226
136.479,.162,2235
137.0894,.162,2244
137.6997,.162,2253
137.6997,.162,2262
139.5308,.171,2271
139.5308,.171,2280
139.5308,.171,2289
141.9722,.18,2298
142.5825,.18,2307
143.498,.18,2316
144.4136,.189,2325
144.4136,.189,2334
146.2446,.198,2343
146.855,.198,2352
147.4653,.198,2361
148.0757,.198,2370
148.9912,.207,2379
149.2964,.207,2388
149.2964,.207,2397
151.7378,.216,2406
151.7378,.216,2415
151.7378,.216,2424
153.5688,.225,2433
154.1792,.225,2442
154.1792,.225,2451
156.6206,.234,2460
157.8413,.234,2469
158.1465,.234,2478
158.7568,.243,2487
159.062,.243,2496
159.062,.243,2505
161.5034,.252,2514
161.5034,.252,2523
162.7241,.252,2532
163.6396,.261,2541
163.9448,.261,2550
163.9448,.261,2559
165.7759,.27,2568
166.3862,.27,2577
166.9966,.27,2586
168.5225,.279,2595
168.8276,.279,2604
168.8276,.279,2613
170.3535,.288,2622
171.269,.288,2631
171.269,.288,2640
173.1001,.297,2649
173.7104,.297,2658
173.7104,.306,2667
175.5415,.306,2676
175.5415,.306,2685
176.7622,.315,2694
176.7622,.315,2703
177.6777,.315,2712
178.5933,.324,2721
178.5933,.324,2730
178.5933,.324,2739
180.4243,.333,2748
181.0347,.333,2757
181.0347,.333,2766
182.5605,.342,2775
183.4761,.342,2784
183.4761,.342,2793
185.002,.351,2802
185.9175,.351,2811
185.9175,.36,2820
187.1382,.36,2829
187.7485,.36,2838
188.3589,.369,2847
188.3589,.369,2856
189.8848,.378,2865
190.1899,.378,2874
190.8003,.378,2883
190.8003,.387,2892
192.6313,.387,2901
191.4106,.396,2910
193.2417,.396,2919
193.2417,.396,2928
195.0728,.405,2937
195.6831,.405,2946
195.6831,.414,2955
196.2935,.414,2964
198.1245,.423,2973
198.1245,.423,2982
198.1245,.432,2991
198.1245,.432,3000
200.5659,.432,3009
200.5659,.441,3018
202.0918,.441,3027
202.7021,.45,3036
203.0073,.45,3045
203.0073,.459,3054
204.8384,.459,3063
205.4487,.468,3072
206.6694,.468,3081
206.9746,.468,3090
207.8901,.477,3099
207.8901,.477,3108
207.8901,.486,3117
209.7212,.486,3126
210.3315,.495,3135
211.5522,.495,3144
212.1626,.504,3153
212.7729,.504,3162
212.7729,.513,3171
212.7729,.513,3180
212.7729,.522,3189
216.4351,.522,3198
216.7402,.531,3207
217.6558,.531,3216
217.6558,.54,3225
217.6558,.54,3234
217.6558,.549,3243
220.0972,.549,3252
221.623,.558,3261
221.3179,.558,3270
222.5386,.558,3279
222.5386,.567,3288
224.3696,.567,3297
224.98,.576,3306
225.5903,.576,3315
227.1162,.585,3324
227.4214,.585,3333
227.4214,.594,3342
228.9473,.594,3351
229.8628,.603,3360
231.3887,.603,3369
231.6938,.612,3378
232.3042,.612,3387
232.3042,.621,3396
234.1353,.621,3405
234.7456,.63,3414
235.9663,.63,3423
236.8818,.639,3432
236.2715,.639,3441
237.187,.648,3450
239.6284,.648,3459
239.6284,.657,3468
241.1543,.657,3477
242.0698,.666,3486
242.0698,.666,3495
243.9009,.666,3504
244.5112,.675,3513
245.1216,.675,3522
246.3423,.684,3531
246.9526,.684,3540
246.9526,.693,3549
248.7837,.693,3558
249.394,.702,3567
249.394,.702,3576
251.5303,.711,3585
251.8354,.711,3594
253.6665,.72,3603
254.2769,.72,3612
254.2769,.729,3621
255.8027,.729,3630
256.4131,.738,3639
256.7183,.738,3648
256.7183,.738,3657
259.1597,.747,3666
259.1597,.747,3675
260.9907,.756,3684
261.2959,.756,3693
261.6011,.765,3702
261.6011,.765,3711
264.0425,.774,3720
264.0425,.774,3729
264.6528,.783,3738
265.5684,.783,3747
266.4839,.792,3756
268.3149,.792,3765
268.0098,.801,3774
268.9253,.801,3783
268.9253,.81,3792
268.9253,.81,3801
270.7563,.81,3810
271.3667,.819,3819
271.3667,.819,3828
273.1978,.828,3837
273.1978,.828,3846
273.8081,.837,3855
275.0288,.846,3864
276.2495,.846,3873
276.2495,.846,3882
276.2495,.855,3891
276.2495,.855,3900
278.0806,.864,3909
276.2495,.864,3918
278.6909,.873,3927
280.2168,.882,3936
278.6909,.882,3945
281.1323,.891,3954
281.1323,.891,3963
281.1323,.9,3972
283.5737,.9,3981
283.5737,.909,3990
285.0996,.909,3999
284.7944,.918,4008
286.0151,.918,4017
286.0151,.927,4026
286.0151,.927,4035
287.8462,.936,4044
288.4565,.945,4053
288.4565,.945,4062
289.9824,.954,4071
290.5928,.954,4080
290.8979,.963,4089
290.8979,.963,4098
290.8979,.972,4107
292.729,.981,4116
293.3394,.981,4125
294.5601,.99,4134
295.1704,.99,4143
295.4756,.999,4152
295.7808,.999,4161
295.7808,1.008,4170
295.7808,1.017,4179
295.7808,1.026,4188
295.7808,1.026,4197
295.7808,1.035,4206
298.2222,1.035,4215
298.2222,1.044,4224
298.2222,1.053,4233
298.2222,1.053,4242
298.2222,1.062,4251
298.2222,1.071,4260
298.2222,1.071,4269
298.2222,1.08,4278
298.2222,1.089,4287
298.2222,1.098,4296
298.2222,1.098,4305
298.2222,1.107,4314
298.2222,1.116,4323
298.2222,1.125,4332
298.2222,1.134,4341
298.2222,1.134,4350
298.2222,1.143,4359
298.2222,1.152,4368
297.6118,1.161,4377
298.2222,1.17,4386
297.6118,1.179,4395
297.6118,1.188,4404
297.6118,1.197,4413
295.7808,1.206,4422
297.6118,1.215,4431
295.7808,1.224,4440
297.6118,1.233,4449
295.7808,1.242,4458
295.7808,1.251,4467
295.7808,1.26,4476
295.7808,1.269,4485
295.7808,1.278,4494
295.7808,1.287,4503
295.7808,1.296,4512
295.7808,1.305,4521
295.7808,1.314,4530
295.7808,1.332,4539
295.7808,1.341,4548
295.7808,1.35,4557
295.7808,1.359,4566
295.4756,1.368,4575
295.7808,1.386,4584
295.7808,1.395,4593
293.9497,1.404,4602
294.8652,1.422,4611
294.5601,1.431,4620
293.9497,1.44,4629
294.8652,1.458,4638
293.9497,1.467,4647
294.5601,1.476,4656
293.3394,1.494,4665
293.3394,1.503,4674
293.3394,1.521,4683
293.3394,1.53,4692
292.729,1.548,4701
292.729,1.557,4710
290.8979,1.575,4719
290.8979,1.584,4728
290.8979,1.602,4737
290.8979,1.611,4746
290.8979,1.629,4755
290.8979,1.647,4764
290.8979,1.656,4773
290.8979,1.674,4782
290.8979,1.683,4791
290.8979,1.701,4800
290.8979,1.719,4809
290.8979,1.737,4818
290.8979,1.746,4827
290.8979,1.764,4836
290.8979,1.782,4845
290.8979,1.791,4854
290.8979,1.809,4863
290.8979,1.827,4872
290.8979,1.845,4881
290.8979,1.863,4890
292.729,1.872,4899
290.8979,1.89,4908
290.8979,1.908,4917
292.729,1.926,4926
293.3394,1.944,4935
293.3394,1.962,4944
293.3394,1.971,4953
293.9497,1.989,4962
293.3394,2.007,4971
294.5601,2.025,4980
294.5601,2.043,4989
295.7808,2.061,4998
295.4756,2.079,5007
295.7808,2.097,5016
295.7808,2.115,5025
297.6118,2.133,5034
298.2222,2.151,5043
298.2222,2.169,5052
299.748,2.187,5061
300.6636,2.205,5070
300.6636,2.223,5079
300.6636,2.241,5088
303.105,2.259,5097
304.3257,2.277,5106
305.5464,2.295,5115
307.0723,2.313,5124
307.9878,2.331,5133
309.5137,2.349,5142
310.4292,2.367,5151
312.8706,2.376,5160
314.7017,2.394,5169
315.312,2.412,5178
317.7534,2.43,5187
320.1948,2.448,5196
322.0259,2.466,5205
323.8569,2.475,5214
325.0776,2.493,5223
327.519,2.511,5232
329.9604,2.529,5241
329.9604,2.538,5250
333.6226,2.556,5259
334.8433,2.574,5268
337.2847,2.583,5277
339.7261,2.601,5286
342.1675,2.619,5295
344.3037,2.628,5304
346.1348,2.646,5313
348.8813,2.655,5322
349.4917,2.673,5331
353.459,2.682,5340
354.3745,2.7,5349
357.4263,2.709,5358
359.2573,2.718,5367
361.6987,2.736,5376
364.1401,2.745,5385
366.5815,2.754,5394
369.0229,2.772,5403
371.4644,2.781,5412
373.9058,2.79,5421
376.9575,2.799,5430
378.7886,2.817,5439
381.8403,2.826,5448
383.6714,2.835,5457
387.3335,2.844,5466
390.3853,2.853,5475
391.606,2.862,5484
395.8784,2.871,5493
398.0146,2.88,5502
400.7612,2.889,5511
403.2026,2.898,5520
406.8647,2.898,5529
409.9165,2.907,5538
412.9683,2.916,5547
415.4097,2.925,5556
417.8511,2.925,5565
421.5132,2.934,5574
422.7339,2.943,5583
426.396,2.943,5592
427.6167,2.952,5601
431.584,2.952,5610
432.4995,2.961,5619
436.1616,2.961,5628
437.3823,2.97,5637
439.8237,2.97,5646
442.2651,2.979,5655
444.0962,2.979,5664
446.8428,2.979,5673
447.1479,2.988,5682
450.1997,2.988,5691
451.1152,2.997,5700
453.8618,2.997,5709
455.998,2.997,5718
456.9136,3.006,5727
456.9136,3.006,5736
459.355,3.006,5745
461.7964,3.006,5754
463.3223,3.015,5763
464.2378,3.015,5772
465.4585,3.015,5781
466.6792,3.015,5790
466.6792,3.015,5799
469.1206,3.015,5808
470.6465,3.024,5817
471.562,3.024,5826
471.562,3.024,5835
474.0034,3.024,5844
475.8345,3.024,5853
476.4448,3.024,5862
476.4448,3.033,5871
478.8862,3.033,5880
479.4966,3.033,5889
480.4121,3.033,5898
