"Ô¶¾°","1","1","1#1000","1","2021-11-10 10:23:20",0,0,1000,20,10,1
596.2808,-3.271484E-02,2.07,0,0,0,0,7745
0,1
.5776367,0,3
.5776367,0,12
.5776367,0,21
.5776367,0,30
.5776367,0,39
.5776367,0,48
-3.271484E-02,0,57
.5776367,0,66
3.019043,0,75
4.239746,0,84
5.460449,0,93
5.460449,0,102
5.460449,0,111
5.460449,0,120
5.460449,0,129
5.460449,0,138
5.460449,0,147
5.460449,0,156
5.460449,0,165
5.460449,0,174
5.460449,0,183
5.460449,0,192
5.460449,0,201
5.460449,0,210
5.460449,0,219
4.850098,0,228
5.460449,0,237
5.460449,0,246
5.460449,0,255
5.460449,0,264
5.460449,0,273
5.460449,0,282
5.460449,0,291
5.460449,0,300
5.460449,0,309
5.460449,0,318
5.460449,0,327
7.291504,0,336
7.291504,0,345
7.291504,0,354
7.901855,0,363
7.291504,0,372
7.291504,0,381
7.291504,0,390
7.291504,0,399
7.291504,0,408
5.460449,0,417
8.512207,0,426
7.901855,0,435
8.512207,0,444
7.901855,0,453
7.901855,0,462
7.901855,0,471
7.901855,0,480
7.291504,0,489
7.901855,0,498
7.901855,0,507
7.291504,0,516
5.460449,0,525
7.901855,0,534
8.512207,0,543
7.901855,0,552
9.122559,0,561
9.427734,0,570
8.512207,0,579
7.901855,0,588
8.512207,0,597
9.122559,0,606
7.901855,0,615
9.122559,0,624
9.73291,0,633
8.512207,0,642
7.901855,0,651
9.122559,0,660
9.73291,0,669
9.73291,0,678
10.34326,0,687
9.427734,0,696
9.73291,0,705
8.512207,0,714
9.122559,0,723
9.427734,0,732
9.122559,0,741
8.512207,0,750
9.122559,0,759
8.512207,0,768
8.512207,0,777
8.512207,0,786
9.427734,0,795
9.427734,0,804
9.122559,0,813
9.427734,0,822
10.34326,0,831
10.34326,0,840
9.427734,0,849
10.34326,0,858
10.34326,0,867
10.34326,0,876
9.427734,0,885
10.34326,0,894
10.34326,0,903
10.34326,0,912
10.34326,0,921
10.34326,0,930
10.34326,0,939
10.34326,0,948
10.34326,0,957
10.34326,0,966
10.34326,0,975
10.34326,0,984
10.34326,0,993
